participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.comment,player.stop_epochtime,player.stop_clocktime,player.total_time_to_completion,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,908yh0te,,0,7,9,Offer,Offer,2022-02-28 23:31:56.854965,1,,,0.0,1,,0.0,,,,,1,1,pquiajho,,,,,1
2,a5cxtnrv,,0,7,9,Offer,Offer,2022-02-28 23:33:25.009217,1,,,0.0,2,,0.0,,,,,1,1,pquiajho,,,,,1
3,vngqrwpk,,0,0,9,,,,0,,,0.0,3,,0.0,,,,,1,1,pquiajho,,,,,1
4,uvnichz9,,0,0,9,,,,0,,,0.0,4,,0.0,,,,,1,1,pquiajho,,,,,1
5,ec2kah21,,0,9,9,Debrief,comment_submitted,2022-02-28 23:33:55.884109,1,,,0.0,5,,0.0,ff,1646091255,00:34:15,18,1,1,pquiajho,,,,,1
6,18mop6e2,,0,0,9,,,,0,,,0.0,6,,0.0,,,,,1,1,pquiajho,,,,,1
7,n3w0cp48,,0,0,9,,,,0,,,0.0,7,,0.0,,,,,1,1,pquiajho,,,,,1
8,w9ozxlas,,0,0,9,,,,0,,,0.0,8,,0.0,,,,,1,1,pquiajho,,,,,1
9,oodqk12y,,0,0,9,,,,0,,,0.0,9,,0.0,,,,,1,1,pquiajho,,,,,1
10,kibvnzbq,,0,0,9,,,,0,,,0.0,10,,0.0,,,,,1,1,pquiajho,,,,,1
1,71xil3f5,,0,6,9,Task,Results,2022-02-28 23:35:19.880266,1,,,0.0,1,,0.0,,,,,1,1,l9x9k0pm,,,,,1
2,qgx1ezak,,0,0,9,,,,0,,,0.0,2,,0.0,,,,,1,1,l9x9k0pm,,,,,1
3,nh6snfwp,,0,0,9,,,,0,,,0.0,3,,0.0,,,,,1,1,l9x9k0pm,,,,,1
4,c4e2u4n2,,0,0,9,,,,0,,,0.0,4,,0.0,,,,,1,1,l9x9k0pm,,,,,1
5,n1qatzfr,,0,0,9,,,,0,,,0.0,5,,0.0,,,,,1,1,l9x9k0pm,,,,,1
6,mey89w32,,0,0,9,,,,0,,,0.0,6,,0.0,,,,,1,1,l9x9k0pm,,,,,1
7,ipm300rb,,0,0,9,,,,0,,,0.0,7,,0.0,,,,,1,1,l9x9k0pm,,,,,1
8,9rp3vj5u,,0,0,9,,,,0,,,0.0,8,,0.0,,,,,1,1,l9x9k0pm,,,,,1
9,zn8oxn3q,,0,0,9,,,,0,,,0.0,9,,0.0,,,,,1,1,l9x9k0pm,,,,,1
10,bb5xkw5w,,0,0,9,,,,0,,,0.0,10,,0.0,,,,,1,1,l9x9k0pm,,,,,1
1,w3pesnv8,,0,6,9,Task,Results,2022-02-28 23:36:49.128180,1,,,0.0,1,,0.0,,,,,1,1,y9psf932,,,,,1
2,ixj5vdaj,,0,0,9,,,,0,,,0.0,2,,0.0,,,,,1,1,y9psf932,,,,,1
3,3ohu06ko,,0,0,9,,,,0,,,0.0,3,,0.0,,,,,1,1,y9psf932,,,,,1
4,vnvettj3,,0,0,9,,,,0,,,0.0,4,,0.0,,,,,1,1,y9psf932,,,,,1
5,ov0mr3rf,,0,0,9,,,,0,,,0.0,5,,0.0,,,,,1,1,y9psf932,,,,,1
6,apvlev9e,,0,0,9,,,,0,,,0.0,6,,0.0,,,,,1,1,y9psf932,,,,,1
7,5kzfc6v0,,0,0,9,,,,0,,,0.0,7,,0.0,,,,,1,1,y9psf932,,,,,1
8,hyopigqn,,0,0,9,,,,0,,,0.0,8,,0.0,,,,,1,1,y9psf932,,,,,1
9,wqw4tevc,,0,0,9,,,,0,,,0.0,9,,0.0,,,,,1,1,y9psf932,,,,,1
